Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8 ,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,LaLaPaRuZa,Finale
Josh: 11,Jen: 16,Josh: 22,Josh: 33,Josh: 38,Zach: 44,Josh: 54,Josh: 65,,,,,,,,
Mark: 11,Josh: 16,Mark: 22,Mark: 33,Mark: 38,Josh: 43,Mark: 51,Mark: 62,,,,,,,,
Clayton: 8,Mark: 16,Matt: 22,Matt: 30,Zach: 36,Mark: 43,Matt: 51,Matt: 62,,,,,,,,
Jacob L: 8,Brian: 13,Jen: 19,Jen: 27,Jessica: 35,Matt: 40,Zach: 49,Zach: 60,,,,,,,,
Jen: 8,Clayton: 13,Maria: 18,Maria: 26,Matt: 35,Jessica: 35,Jen: 43,Jen: 49,,,,,,,,
Matt: 8,Matt: 13,Zach: 18,Zach: 26,Jen: 32,Jen: 32,Jessica: 38,Jessica: 49,,,,,,,,
Rose: 8,Rose: 13,Jessica: 17,James: 25,James: 30,James: 30,James: 36,James: 47,,,,,,,,
Maria: 7,Maria: 12,Clayton: 16,Jessica: 25,Lily: 27,Brian: 29,Clayton: 35,Clayton: 46,,,,,,,,
Zach: 7,Zach: 12,James: 14,Clayton: 24,Brian: 26,Rose: 29,Jacob L: 34,Brian: 43,,,,,,,,
James: 6,James: 11,Lily: 14,Lily: 22,Maria: 26,Jacob D: 26,Brian: 32,Rose: 43,,,,,,,,
Jessica: 6,Jessica: 11,Brian: 13,Brian: 21,Clayton: 24,Jacob L: 26,Rose: 32,Jacob L: 40,,,,,,,,
Lily: 6,Lily: 11,Jacob D: 13,Jacob D: 18,Sam: 23,Maria: 26,Maria: 29,Maria: 40,,,,,,,,
Brian: 5,Jacob L: 8,Rose: 13,Sam: 18,Sean: 23,Sean: 26,Sean: 29,Jacob D: 32,,,,,,,,
Jason: 3,Sam: 7,Sam: 10,Jason: 17,Jason: 22,Sam: 25,Jacob D: 24,Sean: 27,,,,,,,,
Jefferson: 3,Jason: 3,Sean: 10,Rose: 16,Rose: 21,Clayton: 24,Sam: 22,Jefferson: 25,,,,,,,,
Dean: 2,Jefferson: 3,Jason: 9,Jacob L: 13,Jacob D: 18,Lily: 24,Dean: 20,Lily: 25,,,,,,,,
Jacob D: 2,Jacob D: 2,Jacob L: 8,Sean: 13,Jacob L: 18,Jason: 22,Jason: 20,Dean: 23,,,,,,,,
Sam: 2,Sean: 2,Jefferson: 3,Jefferson: 8,Dean: 9,Dean: 9,Jefferson: 19,Sam: 22,,,,,,,,
Sean: 2,Dean: -1,Dean: -4,Dean: 4,Jefferson: 8,Jefferson: 8,Lily: 17,Jason: 20,,,,,,,,
